[0.174225,0.241055,0.245744,0.146943,0.110383,0.155438,0.214085,0.174016]	[184.323354,215.536348,165.928897,213.657752,184.617474,187.220088,199.261395,183.983988]	2130
[0.152722,0.281000,0.295070,0.130136,0.087940,0.154989,0.235170,0.184823]	[186.485085,209.210582,182.332791,206.103103,180.952584,194.885055,186.646328,183.177737]	585
[0.162863,0.303104,0.413623,0.106100,0.101745,0.195311,0.224526,0.136502]	[175.862139,209.083291,175.945943,208.037982,179.896557,200.287038,181.930275,183.108359]	715
[0.132684,0.370613,0.346370,0.101222,0.120508,0.155374,0.207303,0.097127]	[179.175470,206.715394,176.659661,211.170932,176.258271,182.208991,190.120752,182.961981]	499
[0.248311,0.384459,0.489338,0.142239,0.126342,0.241233,0.170111,0.470181]	[246.967551,218.250994,144.579832,192.630741,173.298505,198.365167,220.064500,137.175463]	2717
[0.165472,0.443003,0.270719,0.203735,0.098838,0.279694,0.153440,0.481420]	[213.988477,225.842619,156.740309,206.021066,176.948228,188.099734,235.802065,132.022094]	716
[0.154504,0.348425,0.347926,0.222506,0.101474,0.279694,0.165958,0.285236]	[221.318443,226.760507,152.955802,201.557417,167.428513,188.099734,237.512270,137.981940]	334
[0.233714,0.221792,0.155318,0.343630,0.095897,0.444245,0.029873,0.336174]	[198.947802,232.958945,178.864421,200.699563,202.692515,181.492405,174.584903,158.410475]	1990
[0.201789,0.522037,0.490631,0.324505,0.182384,0.209960,0.086893,0.302901]	[228.633786,231.900225,147.582016,189.644808,168.694847,208.290210,192.966922,162.797957]	2502
[0.154336,0.437332,0.266791,0.315181,0.253738,0.217440,0.060687,0.293998]	[204.903396,228.703990,152.134551,217.048647,182.649918,207.025465,177.217489,154.235224]	767
[0.147507,0.551683,0.287055,0.347301,0.265119,0.181977,0.063930,0.250021]	[191.238730,232.267659,158.503096,219.080825,186.611448,215.655863,173.258666,145.415396]	697
[0.141162,0.608156,0.247109,0.466855,0.245623,0.261006,0.168660,0.342421]	[207.853979,228.009665,150.621561,216.114161,175.366227,190.811173,143.036312,209.292226]	1934
[0.034359,0.338279,0.375342,0.209447,0.190795,0.261074,0.190809,0.427023]	[166.003563,198.987633,227.098961,222.628600,178.026835,185.393706,141.237072,201.645865]	1809
[0.027107,0.432597,0.807859,0.344609,0.284556,0.310452,0.122303,0.268094]	[165.369624,215.214403,188.627684,225.393214,176.510625,174.093579,153.932085,195.791273]	1085
[0.028216,0.388154,0.491712,0.299715,0.131249,0.375562,0.123712,0.245489]	[180.399556,217.438811,200.178348,206.985631,174.802505,172.621985,153.434329,185.069463]	785
[0.207088,0.348393,0.323328,0.230660,0.256361,0.367910,0.169221,0.256133]	[232.536126,231.596087,170.198005,175.608152,145.609966,192.515471,170.448446,202.784547]	1714
[0.156045,0.083236,0.435085,0.332148,0.445081,0.244437,0.267670,0.507144]	[211.947115,238.716957,172.092788,196.691816,132.592135,185.847094,186.531718,195.575786]	1880
[0.085471,0.287239,0.327116,0.643464,0.265200,0.220397,0.268830,0.256521]	[216.178271,201.810203,169.579577,207.182390,168.483139,199.637069,194.475911,159.955744]	2288
[0.159861,0.169459,0.104845,0.549413,0.191844,0.119374,0.182201,0.203542]	[226.469404,212.425306,169.282873,206.263338,192.983875,202.402812,174.536083,149.048991]	2006
[0.070935,0.293275,0.761857,0.124848,0.168342,0.123069,0.151941,0.155680]	[200.774463,213.200592,219.896921,183.853541,205.643806,185.403519,176.793287,148.224029]	1807
[0.112810,0.340042,0.558464,0.176977,0.587898,0.248075,0.221133,0.188837]	[237.340072,236.114425,190.301228,152.781733,143.907086,201.121853,164.832427,204.293821]	2323
[0.155039,0.488148,0.424127,0.336570,0.782472,0.220983,0.264397,0.292415]	[245.875054,232.651247,180.090169,145.606857,140.574171,209.290304,173.133521,187.572792]	820
[0.237730,0.415310,0.321585,0.424935,0.401400,0.174521,0.206492,0.309558]	[226.223880,234.611767,171.926947,172.794537,141.799214,210.017045,160.158065,186.786900]	1248
[0.246417,0.114981,0.443810,0.317013,0.598880,0.180609,0.149017,0.329745]	[228.586088,230.108284,196.488131,152.080794,135.846415,203.828908,188.423955,200.515894]	1638
[0.263023,0.104428,0.320853,0.394761,0.594876,0.216830,0.044794,0.355815]	[224.597661,230.637238,195.335130,156.056277,136.142719,196.636736,189.694348,198.171588]	653
[0.185900,0.385896,0.320967,0.247351,0.594876,0.246734,0.103482,0.323383]	[192.116865,231.528739,204.368637,185.420620,136.142719,201.443403,188.962694,196.504447]	909
[0.204471,0.460405,0.309730,0.247047,0.772775,0.192431,0.156065,0.348740]	[198.588099,232.627897,175.446919,200.242522,129.858643,205.422974,190.533786,192.234301]	1193
[0.211092,0.452173,0.508337,0.151554,0.702975,0.156408,0.158823,0.347349]	[201.786839,234.595763,185.747525,181.938425,130.688233,204.983792,188.727439,194.181956]	559
[0.209010,0.554337,0.627291,0.326979,0.424387,0.158970,0.254338,0.487554]	[215.497557,232.573859,173.646305,184.433913,136.043249,204.342797,175.996965,180.520847]	1468
[0.214136,0.549861,0.565751,0.381279,0.424387,0.158655,0.255195,0.487554]	[206.689779,232.241920,185.206179,181.798743,136.043249,207.618677,175.033651,180.520847]	164
[0.196055,0.542628,0.523613,0.364308,0.493741,0.145298,0.148598,0.490578]	[202.652909,229.638999,188.287998,185.997180,133.500063,188.053397,192.893058,176.705333]	574
[0.174570,0.587970,0.593315,0.360259,0.311692,0.236028,0.130966,0.300666]	[197.012496,231.954495,197.088955,173.065105,157.688578,193.288200,179.267274,206.050542]	1923
[0.192416,0.601956,0.585403,0.301020,0.320772,0.206977,0.112626,0.283990]	[196.992252,229.441360,205.344547,166.287293,154.192992,186.704017,188.237904,204.900966]	491
[0.184379,0.534530,0.373019,0.385172,0.342261,0.193951,0.132485,0.285107]	[214.460623,232.643160,178.380367,169.240630,151.796419,179.862066,194.995490,203.722035]	449
[0.199832,0.535085,0.352592,0.358533,0.255912,0.213720,0.092558,0.233838]	[207.779913,231.135256,193.772620,163.257177,152.768454,189.582977,180.638447,208.691634]	664
[0.203242,0.486912,0.286393,0.479306,0.324815,0.145409,0.105989,0.194075]	[212.440485,229.369451,190.423921,165.046653,147.690728,184.421196,201.273478,197.860954]	467
[0.193074,0.600453,0.469222,0.362876,0.324815,0.155836,0.120641,0.171936]	[200.793710,229.375308,217.398346,156.382394,147.690728,185.694125,201.751035,195.806514]	258
[0.187052,0.563949,0.519801,0.434088,0.386887,0.225376,0.203018,0.134492]	[199.644399,232.706335,204.670880,174.431156,146.241791,165.170455,219.385577,191.009258]	860
[0.198905,0.604089,0.551238,0.295099,0.387917,0.131015,0.227111,0.149551]	[197.911759,228.046866,236.256917,149.332063,146.333337,168.129261,216.708368,192.961734]	467
[0.192387,0.615445,0.394978,0.196869,0.314840,0.204112,0.200855,0.133408]	[202.845152,227.875460,224.479446,153.538830,144.397979,177.409305,204.753295,194.745356]	685
[0.159960,0.680927,0.552256,0.226388,0.269395,0.179645,0.121548,0.138302]	[205.494691,226.706436,197.593477,183.143837,200.092325,187.315076,138.032664,193.208612]	2249
[0.171265,0.553590,0.478643,0.446142,0.119535,0.196223,0.138710,0.128989]	[206.678454,232.369419,216.805895,158.763309,187.648601,184.562059,149.416217,187.960802]	1604
[0.183455,0.628233,0.492646,0.384323,0.166817,0.176039,0.170075,0.127265]	[218.745066,225.677820,195.781712,168.872761,183.559502,185.695131,149.386211,193.868956]	644
[0.197239,0.617869,0.538222,0.441126,0.164891,0.192047,0.172364,0.120800]	[200.898904,223.353488,212.178803,165.871826,183.506712,187.001427,146.121732,203.965724]	327
[0.183378,0.672945,0.483437,0.409222,0.202693,0.253202,0.178386,0.133614]	[203.974245,225.344022,215.287390,166.583743,182.217745,187.542890,142.185937,192.212645]	574
[0.171952,0.742631,0.412939,0.469523,0.203652,0.170511,0.203029,0.141454]	[204.944065,214.002089,208.891786,168.416571,179.041572,185.611241,147.174777,203.780949]	514
[0.189226,0.722908,0.480060,0.517927,0.213588,0.151051,0.203764,0.142760]	[203.802711,221.587399,203.317901,174.804416,175.187326,185.414896,148.525653,192.951632]	303
[0.187635,0.737476,0.526190,0.389359,0.236735,0.154793,0.202851,0.149741]	[205.530529,224.383734,209.235185,168.341120,175.579131,183.113754,148.240921,191.613633]	245
[0.192195,0.685510,0.431933,0.354516,0.143988,0.246289,0.185631,0.150588]	[197.140580,225.239755,236.528391,149.370482,170.986261,184.440980,148.351469,193.155826]	455
[0.141366,0.763503,0.533763,0.388685,0.240451,0.087987,0.246454,0.124542]	[203.819913,222.304821,220.767197,153.357567,188.677690,156.393244,196.080998,191.284324]	1949
[0.168332,0.708581,0.547575,0.395242,0.221400,0.068638,0.239887,0.136079]	[196.701168,223.492746,233.797424,145.683902,183.900076,149.785057,205.413431,193.399301]	669
[0.172287,0.784679,0.425234,0.339682,0.221400,0.080216,0.257814,0.142590]	[196.626511,225.480739,235.451658,149.016836,183.900076,149.333296,205.804130,190.327092]	158
[0.170996,0.555578,0.393523,0.303872,0.186187,0.284316,0.128627,0.185266]	[195.206278,232.718517,232.230122,149.445182,164.492556,163.493325,216.378323,180.381049]	1602
[0.166523,0.629270,0.510145,0.285163,0.178486,0.353794,0.135285,0.167193]	[209.940571,228.334423,214.708396,150.281880,178.017870,154.895000,212.077173,180.186358]	502
[0.167688,0.581121,0.397450,0.391475,0.369653,0.402717,0.118638,0.364810]	[194.472245,229.046504,213.622279,166.108662,169.272579,135.409515,228.494170,187.675139]	1525
[0.176169,0.594582,0.452615,0.361091,0.367235,0.404126,0.147780,0.388670]	[209.023903,228.300457,216.862000,149.389212,166.476035,137.172139,223.732776,186.904997]	366
[0.187551,0.593096,0.404821,0.307502,0.245354,0.537899,0.132194,0.406579]	[207.940017,229.821871,215.398834,151.309206,169.365524,137.213541,221.349927,184.995625]	458
[0.166398,0.561147,0.523730,0.161861,0.189886,0.098475,0.117922,0.328222]	[197.325077,232.168183,233.313533,146.494986,167.759786,191.138909,176.624775,193.423205]	1723
[0.123768,0.540625,0.410185,0.188557,0.077355,0.233798,0.207610,0.211785]	[209.900083,232.857042,226.421112,147.070389,177.925148,163.213470,176.268758,200.159692]	2147
[0.186326,0.560795,0.296416,0.174196,0.173787,0.298814,0.124430,0.354682]	[203.902149,231.408094,219.917412,156.244990,187.313770,150.027954,201.848420,167.926199]	2258
[0.251680,0.373638,0.439225,0.503217,0.200557,0.324321,0.054143,0.460740]	[208.155223,235.982155,177.250885,186.891315,159.301848,150.934619,205.248534,180.354787]	1641
[0.185373,0.516413,0.219487,0.424665,0.177264,0.150913,0.227041,0.329032]	[226.520344,232.644774,200.404351,148.663107,177.823860,199.406911,151.036519,193.903724]	2142
[0.173563,0.573800,0.406474,0.351561,0.128629,0.169743,0.184198,0.382733]	[209.467800,233.474110,210.626642,152.313681,186.048332,190.072244,148.261985,201.397224]	1419
[0.166308,0.612052,0.404769,0.213826,0.353933,0.153181,0.151390,0.304613]	[195.542403,228.557493,209.576880,167.564052,181.901992,184.092155,157.526866,204.616873]	1784
[0.155506,0.602471,0.484582,0.448050,0.122237,0.402995,0.245201,0.355680]	[196.996575,228.152903,217.517884,162.749080,182.894749,139.219012,219.547190,188.806731]	2004
[0.169837,0.610325,0.566812,0.393306,0.123592,0.392512,0.113969,0.358656]	[196.891732,226.174018,241.608404,130.334892,173.283397,135.372723,213.983122,182.135694]	739
[0.174276,0.587336,0.401580,0.434915,0.124633,0.332563,0.097130,0.376460]	[208.431281,229.588845,198.869013,155.445538,180.913440,128.729177,204.699522,187.874081]	589
[0.183400,0.631035,0.475028,0.485478,0.129976,0.326432,0.092499,0.344211]	[194.265324,228.590098,211.556867,164.913163,174.641525,131.128381,204.047702,187.040497]	335
[0.179749,0.552968,0.415763,0.479238,0.126116,0.335449,0.087505,0.360973]	[213.966340,232.188654,186.163661,164.748129,166.117553,134.809198,204.069331,183.700874]	239
[0.195069,0.595589,0.408212,0.446810,0.106854,0.335449,0.087731,0.406552]	[214.416891,229.509438,179.290591,174.172263,161.906982,134.809198,203.418588,184.630175]	165
[0.203058,0.606476,0.393270,0.299415,0.096185,0.352937,0.087731,0.406968]	[200.079805,228.983423,224.878582,152.065586,166.480996,130.184586,203.418588,184.687419]	409
[0.195232,0.547144,0.453766,0.165180,0.105548,0.337342,0.189593,0.429593]	[214.137605,234.046284,205.646427,153.002750,166.160558,128.433741,202.031603,183.796950]	377
[0.162330,0.567923,0.409084,0.442112,0.272532,0.680237,0.320701,0.303338]	[198.716603,231.022407,211.807402,167.657180,196.049713,126.614310,210.978790,196.689996]	1208
[0.177206,0.621077,0.393825,0.349313,0.226366,0.302169,0.195104,0.301792]	[216.310552,228.036701,211.323741,147.834407,185.548767,129.364877,204.704743,191.623267]	688
[0.150461,0.584335,0.494417,0.307917,0.204631,0.108352,0.111339,0.271104]	[202.526106,232.118259,216.943767,154.002413,177.761296,195.006947,165.596589,189.722766]	1948
[0.161922,0.636127,0.529318,0.232323,0.223303,0.347240,0.094227,0.305352]	[204.401455,227.349975,221.947356,152.767773,218.634287,161.369133,163.440504,186.004797]	1620
[0.182528,0.635058,0.433165,0.235775,0.222445,0.340546,0.165928,0.304478]	[209.799629,226.323951,219.367128,150.141075,215.344861,161.394916,163.473214,196.076130]	359
