STATE	QUANT	PART
alabama	0.40740742857142853 -0.06782794360068517
arizona	0.5661064444444445 0.0033788381394511654
connecticut	0.42268000000000006 0.2537745019723984
hawaii	0.416898 0.185243206626
idaho	0.1746375 -0.014558131274999988
indiana	0.22863044444444444 0.0024165473191244138
iowa	0.4093325 0.002208963940732002
massachusetts	0.44755177777777777 0.2422280198481663
missouri	0.392474625 0.0027892684492053753
nebraska	0.175741 -0.04469820026133333
nevada	0.39148675 0.03177169442637503
new_hampshire	0.32681550000000004 0.007070980157999997
new_jersey	0.45331541666666664 0.07477853337048611
new_mexico	0.49182400000000004 0.06885568788266673
new_york	0.45728414814814816 0.14702118815928739
ohio	0.5693021250000001 0.013295835979098787
oklahoma	0.3745958 -0.14581615164977926
pennsylvania	0.5109637222222221 0.04456449586606793
pennsylvania_james	0.5582830555555555 0.026739153040185218
tennessee	0.279484 -0.08904298132444444
texas	0.56091225 -0.04993689579300006
