[0.504688,0.334816,0.120556,0.349553,0.172917,0.217492,0.259522,0.196112,0.165245,0.243063]	[155.099627,181.670609,102.351333,81.362786,230.290072,219.661029,71.764885,211.721691,166.952265,199.544313]	2325
[0.229709,0.445886,0.158392,0.210748,0.252783,0.181446,0.294098,0.183497,0.269572,0.279495]	[153.824062,184.143422,79.918048,90.318047,241.270691,210.785554,72.253450,216.203057,167.538637,198.840603]	2245
[0.329282,0.458962,0.200202,0.256727,0.075144,0.304281,0.244922,0.187568,0.307235,0.261334]	[155.086630,183.582216,76.696677,110.340603,235.972307,207.784971,83.755252,211.257904,167.412717,199.334612]	2262
[0.157405,0.453003,0.258159,0.155264,0.098075,0.173211,0.282746,0.180981,0.207307,0.279105]	[156.332671,185.105411,75.736350,98.753792,244.055684,194.424042,87.249225,213.826139,168.783231,197.466310]	1947
[0.351413,0.381813,0.131742,0.295580,0.107383,0.156242,0.090723,0.191174,0.167802,0.191360]	[160.647321,182.284800,108.551687,77.918791,191.508071,223.062409,86.513982,204.931210,173.944270,217.253913]	2919
[0.241636,0.393859,0.119411,0.154345,0.145467,0.234818,0.139381,0.190620,0.130113,0.280176]	[166.004462,183.410806,82.949825,90.692580,222.765789,219.351006,82.018765,212.181401,175.343560,197.403276]	2788
[0.280598,0.426567,0.246299,0.232061,0.123452,0.200278,0.429732,0.179400,0.095057,0.298319]	[157.913302,182.438711,90.983726,83.089535,249.595138,195.351944,80.428610,219.688853,169.105693,194.175823]	2515
[0.181743,0.443757,0.278516,0.200234,0.106424,0.206492,0.372468,0.179400,0.054980,0.296222]	[165.122085,183.284436,87.259244,84.795695,260.096932,178.918126,82.548221,219.688853,171.781942,194.763944]	1589
[0.467432,0.209210,0.070605,0.101427,0.076572,0.198312,0.203700,0.163590,0.119276,0.076585]	[153.413496,183.014732,116.061734,108.756290,237.435582,173.914819,80.846102,217.004472,171.310831,203.210356]	2869
[0.360293,0.315207,0.119287,0.120549,0.141905,0.130120,0.288306,0.134945,0.120517,0.074798]	[165.573616,181.680903,84.318339,80.805365,227.640154,159.156510,87.039715,229.513684,175.482110,225.876081]	3164
[0.258528,0.461395,0.220734,0.290229,0.141211,0.188666,0.114587,0.124766,0.129687,0.264316]	[166.371029,182.921603,93.270359,89.701148,216.581585,225.952576,79.484813,205.987923,179.219137,199.690775]	3421
[0.228698,0.493347,0.241491,0.243465,0.143987,0.095967,0.439650,0.103933,0.109870,0.270055]	[174.055826,183.168513,96.449112,87.270992,228.564292,199.563608,82.224976,214.094819,179.199409,199.802993]	2385
[0.204943,0.428480,0.124053,0.216209,0.087558,0.215924,0.422122,0.178288,0.167411,0.230822]	[162.666659,185.569639,92.888764,81.634186,245.058244,192.696995,82.240523,223.026781,171.486337,198.580069]	2094
[0.272619,0.509594,0.217636,0.119905,0.169898,0.138637,0.426660,0.162106,0.139885,0.390554]	[167.086029,184.189766,80.894183,81.300549,243.176443,203.372514,83.879802,221.134835,176.088776,188.331566]	1949
[0.199912,0.440291,0.161344,0.130756,0.089410,0.231236,0.288443,0.151469,0.156285,0.281788]	[163.786705,182.479250,89.082427,85.833882,239.169804,198.453985,90.917799,214.258200,174.867893,199.441611]	2771
[0.212528,0.430340,0.115507,0.145656,0.118135,0.183477,0.154400,0.171367,0.104144,0.321322]	[160.091828,184.171597,85.593181,84.686124,248.715172,202.564094,83.026635,220.033539,175.217780,187.657168]	2833
[0.494656,0.369544,0.190528,0.137756,0.191143,0.164875,0.159679,0.185124,0.090840,0.297141]	[166.047647,182.425106,91.864547,82.842664,239.505909,200.079969,96.539680,217.762475,173.383996,192.547362]	2476
[0.248660,0.309230,0.147119,0.127227,0.160930,0.215229,0.169492,0.219539,0.118885,0.185425]	[170.833579,184.830258,87.830750,88.001869,135.262066,302.005803,86.697138,201.400647,183.594676,196.690349]	2964
[0.432890,0.336829,0.364207,0.067085,0.113927,0.143992,0.183484,0.199727,0.148260,0.249185]	[170.947407,187.994162,94.744454,74.476374,182.523737,263.681130,80.599342,197.512449,189.375907,198.337647]	2328
[0.224626,0.486904,0.134293,0.344161,0.125421,0.282364,0.112787,0.190496,0.126945,0.123709]	[164.755187,182.805836,87.513935,79.656385,248.853663,214.709215,79.613530,198.631735,176.894292,205.686170]	2917
[0.375712,0.491667,0.345457,0.293579,0.293724,0.200969,0.176299,0.218907,0.132702,0.215931]	[163.560827,182.924118,88.559200,78.197784,283.479026,162.346178,89.743839,213.418710,169.892212,204.964033]	2950
[0.275942,0.420109,0.429293,0.383958,0.255176,0.286615,0.250102,0.195454,0.089526,0.168506]	[170.101303,183.386633,79.380841,73.760234,273.957173,163.556852,85.064594,215.069373,174.058309,202.593692]	1968
[0.286838,0.360170,0.173836,0.453733,0.182889,0.136797,0.118119,0.175898,0.080005,0.225790]	[178.621513,186.532486,65.666944,80.854292,235.534663,170.061121,154.756062,220.247609,133.107426,210.294752]	3463
[0.270904,0.437746,0.137812,0.085354,0.140375,0.084937,0.261077,0.184315,0.107383,0.266583]	[188.091362,182.509159,88.579677,84.856504,210.643302,193.194225,150.963868,227.852066,137.847522,195.998538]	2598
